Kabupaten/Kota;Tempat Usaha;Nilai Penjualan;Status Badan Usaha;Kategori KBLI;;;;
Kabupaten Kediri;Bangunan Campuran;Rp45.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Kediri;Bangunan Campuran;Rp0;Perorangan;Aktivitas Jasa Lainnya;;;;
Kabupaten Kediri;Bangunan Khusus Usaha;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Kediri;Bangunan Campuran;Rp0;Perorangan;Aktivitas Jasa Lainnya;;;;
Kabupaten Kediri;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Kediri;Bangunan Campuran;Rp0;Perorangan;Aktivitas Jasa Lainnya;;;;
Kabupaten Kediri;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Kediri;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Kediri;Bangunan Campuran;Rp10.500.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Kediri;Bangunan Campuran;Rp4.200.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Kediri;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Kediri;Bangunan Khusus Usaha;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Kediri;Bangunan Campuran;Rp4.500.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Kediri;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Kediri;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Kediri;Bangunan Campuran;Rp25.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Kediri;Bangunan Campuran;Rp80.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Kediri;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Kediri;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Kediri;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Kediri;Bangunan Khusus Usaha;Rp6.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Kediri;Bangunan Khusus Usaha;Rp1.080.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Kediri;Bangunan Campuran;Rp500.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Kediri;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Kediri;Bangunan Campuran;Rp5.400.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Kediri;Bangunan Campuran;Rp30.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Kediri;Bangunan Khusus Usaha;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Kediri;Bangunan Campuran;Rp6.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Kediri;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Kediri;Bangunan Campuran;Rp45.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Kediri;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Kediri;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Kediri;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Blitar;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Blitar;Bangunan Campuran;Rp0;Perorangan;P. Pendidikan;;;;
Kabupaten Blitar;Bangunan Khusus Usaha;Rp1.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Blitar;Bangunan Campuran;Rp0;Perorangan;R. Kesenian, Hiburan, Dan Rekreasi;;;;
Kabupaten Blitar;Bangunan Campuran;Rp300.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Blitar;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Blitar;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Blitar;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Blitar;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Blitar;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Blitar;Bangunan Campuran;Rp0;Perorangan;P. Pendidikan;;;;
Kabupaten Blitar;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Blitar;Bangunan Khusus Usaha;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Blitar;Bangunan Campuran;Rp500.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Blitar;Bangunan Campuran;Rp100.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Blitar;Bangunan Campuran;Rp1.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Blitar;Bangunan Campuran;Rp1.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Blitar;Bangunan Campuran;Rp0;Perorangan;J. Informasi Dan Komunikasi;;;;
Kabupaten Blitar;Bangunan Campuran;Rp0;Perorangan;Aktivitas Jasa Lainnya;;;;
Kabupaten Blitar;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Blitar;Bangunan Campuran;Rp400.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Blitar;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Blitar;Bangunan Campuran;Rp1.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Blitar;Bangunan Campuran;Rp800.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Blitar;Bangunan Campuran;Rp300.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Blitar;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Blitar;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Blitar;Bangunan Khusus Usaha;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Blitar;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Blitar;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Blitar;Bangunan Campuran;Rp0;Perorangan;J. Informasi Dan Komunikasi;;;;
Kabupaten Blitar;Bangunan Campuran;Rp800.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Blitar;Bangunan Campuran;Rp500.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Blitar;Bangunan Campuran;Rp0;Perorangan;Aktivitas Jasa Lainnya;;;;
Kabupaten Blitar;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Blitar;Bangunan Campuran;Rp500.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Blitar;Bangunan Campuran;Rp3.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Blitar;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Blitar;Bangunan Campuran;Rp0;Perorangan;Aktivitas Jasa Lainnya;;;;
Kabupaten Blitar;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Blitar;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Blitar;Bangunan Campuran;Rp300.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Blitar;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Blitar;Bangunan Campuran;Rp2.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Blitar;Bangunan Campuran;Rp400.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Blitar;Bangunan Campuran;Rp800.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Blitar;Bangunan Campuran;Rp3.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Blitar;Bangunan Campuran;Rp1.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Blitar;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Blitar;Bangunan Campuran;Rp500.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Blitar;Bangunan Campuran;Rp600.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Blitar;Bangunan Campuran;Rp600.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Blitar;Bangunan Campuran;Rp400.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Blitar;Bangunan Campuran;Rp1.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Blitar;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Blitar;Bangunan Khusus Usaha;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Gresik;Bangunan Khusus Usaha;Rp300.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Gresik;Bangunan Campuran;Rp15.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Gresik;Bangunan Campuran;Rp120.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Gresik;Bangunan Campuran;Rp210.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Gresik;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Gresik;Bangunan Campuran;Rp60.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Gresik;Bangunan Khusus Usaha;Rp30.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Gresik;Bangunan Khusus Usaha;Rp60.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Gresik;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Gresik;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Gresik;Bangunan Campuran;Rp15.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Gresik;Bangunan Campuran;Rp15.750.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Gresik;Bangunan Campuran;Rp90.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Gresik;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Gresik;Bangunan Campuran;Rp16.500.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Gresik;Bangunan Campuran;Rp1.890.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Gresik;Bangunan Campuran;Rp9.600.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Gresik;Bangunan Campuran;Rp1.500.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Gresik;Bangunan Campuran;Rp3.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Gresik;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Gresik;Bangunan Campuran;Rp3.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Gresik;Bangunan Campuran;Rp3.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Gresik;Bangunan Campuran;Rp40.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Gresik;Bangunan Khusus Usaha;Rp40.200.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Gresik;Bangunan Khusus Usaha;Rp15.000.000;Perorangan;D. Pengadaan Listrik, Gas, Uap/Air Panas, Dan Udara Dingin;;;;
Kabupaten Gresik;Bangunan Khusus Usaha;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Gresik;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Gresik;Bangunan Campuran;Rp6.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Gresik;Bangunan Khusus Usaha;Rp21.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Gresik;Bangunan Campuran;Rp15.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Gresik;Bangunan Campuran;Rp3.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Gresik;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Gresik;Bangunan Campuran;Rp15.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Gresik;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Gresik;Bangunan Khusus Usaha;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Gresik;Bangunan Khusus Usaha;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Gresik;Bangunan Khusus Usaha;Rp15.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Gresik;Bangunan Khusus Usaha;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Gresik;Bangunan Khusus Usaha;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Gresik;Bangunan Khusus Usaha;Rp7.500.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Gresik;Bangunan Khusus Usaha;Rp3.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Gresik;Bangunan Khusus Usaha;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Gresik;Bangunan Khusus Usaha;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Gresik;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Gresik;Bangunan Khusus Usaha;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Gresik;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Gresik;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Gresik;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Gresik;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Gresik;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Jombang;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Jombang;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Jombang;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Jombang;Bangunan Campuran;Rp540.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Jombang;Bangunan Khusus Usaha;Rp1.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Jombang;Bangunan Khusus Usaha;Rp2.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Jombang;Bangunan Khusus Usaha;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Jombang;Bangunan Campuran;Rp7.500.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Jombang;Bangunan Campuran;Rp4.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Jombang;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Jombang;Bangunan Campuran;Rp900.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Jombang;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Jombang;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Jombang;Bangunan Campuran;Rp3.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Jombang;Bangunan Khusus Usaha;Rp7.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Jombang;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Jombang;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Jombang;Bangunan Campuran;Rp2.500.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Jombang;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Jombang;Bangunan Khusus Usaha;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Jombang;Bangunan Campuran;Rp1.500.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Jombang;Bangunan Campuran;Rp1.700.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Jombang;Bangunan Campuran;Rp1.500.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Jombang;Bangunan Campuran;Rp7.500.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Jombang;Bangunan Campuran;Rp1.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Jombang;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Jombang;Bangunan Khusus Usaha;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Jombang;Bangunan Campuran;Rp7.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Jombang;Bangunan Khusus Usaha;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Jombang;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Jombang;Bangunan Campuran;Rp6.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Jombang;Bangunan Campuran;Rp500.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Jombang;Bangunan Campuran;Rp800.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Jombang;Bangunan Campuran;Rp1.200.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Jombang;Bangunan Khusus Usaha;Rp3.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Jombang;Bangunan Campuran;Rp1.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Jombang;Bangunan Khusus Usaha;Rp3.500.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Jombang;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Jombang;Bangunan Campuran;Rp2.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Jombang;Bangunan Campuran;Rp2.500.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Jombang;Bangunan Campuran;Rp1.500.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Jombang;Bangunan Khusus Usaha;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Jombang;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Jombang;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Jombang;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Jombang;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Jombang;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Jombang;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Jombang;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Jombang;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Jombang;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Jombang;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Jombang;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Jombang;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Jombang;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Lumajang;Bangunan Campuran;Rp3.500.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Lumajang;Bangunan Campuran;Rp2.500.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Lumajang;Bangunan Campuran;Rp1.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Lumajang;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Lumajang;Bangunan Campuran;Rp2.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Lumajang;Bangunan Campuran;Rp4.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Lumajang;Bangunan Campuran;Rp1.000.000;Lainnya (UD);"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Lumajang;Bangunan Khusus Usaha;Rp175.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Lumajang;Bangunan Khusus Usaha;Rp500.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Lumajang;Bangunan Campuran;Rp2.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Lumajang;Bangunan Khusus Usaha;Rp700.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
